text,label
"Your account is suspended, verify now",1
"Click here to reset your password immediately",1
"Meeting scheduled at 10 AM tomorrow",0
"Please find attached report",0
"URGENT: Your Netflix subscription payment has failed. Update billing info now: http://netflix-update-billing.com",1
"Hi team, here is the weekly project update. We are on track for our Friday milestone.",0
"You have won a $1000 Amazon Gift Card! Claim your reward immediately by logging in here: http://amazon-free-giftcard.net",1
"Hey, are you free for a quick sync tomorrow morning around 11? Let me know.",0
"Official Bank Alert: Suspicious activity detected on your Chase debit card. Verify your identity to unlock: http://chase-security-verify.com",1
"Your monthly bank statement is now ready to view. Log in to your secure portal to download.",0
"Your package from DHL could not be delivered due to an incorrect address. Reschedule here: http://dhl-package-delivery.info",1
"Hi Mom, just wanted to check in and see how you are doing. Let's chat this weekend!",0
"Important: Google Security Alert. Someone has your password. Click here to reset it: http://google-security-reset.xyz",1
"Thanks for booking your flight! Your ticket confirmation and invoice are attached below.",0
"Microsoft Office 365: Urgent password update required. Your access will be deactivated in 24 hours.",1
"Can you review the attached draft and send me your feedback by tomorrow afternoon?",0
"Congratulations! Your resume was selected for our remote job vacancy. Earn $5000/week. Register now: http://earn-money-fast.co",1
"Your annual eye exam appointment is confirmed for Tuesday, July 7th at 3 PM.",0
"WARNING: Your PayPal account has been locked. Verify your credit card information immediately: http://paypal-identity-check.com",1
"Thank you for your order! Your payment was successful and your items will ship tomorrow.",0
"Critical security patch required for all employees. Please download and install from this portal.",1
"Hi, I wanted to follow up on our phone call yesterday. Do you have the updated figures?",0
"Your Apple ID has been locked for security reasons. Click here to unlock your account: http://apple-id-verify.com",1
"Hi, the newsletter is ready to go out. Let me know if you want to make any last-minute edits.",0
"Get rich quick! Double your bitcoin in 24 hours. Send BTC to our wallet now: http://bitcoin-double-fast.com",1
"Just a reminder that the office will be closed on Friday for the public holiday. Enjoy the long weekend!",0
"Urgent invoice payment outstanding. Please wire the payment of $2,450 to the account specified in the link.",1
"Hi, could you please send me the contact information for our new contractor? Thanks!",0
"Congratulations! You are the selected winner of our grand lottery. Claim your cash prize: http://lottery-cash-winner.net",1
"Hey, let's grab lunch tomorrow. It's been a while since we caught up!",0
"Your subscription to Spotify Premium has been cancelled due to a billing issue. Renew here: http://spotify-billing-renew.com",1
"Welcome to the team! We are thrilled to have you. Here is your onboarding schedule for next week.",0
"Your package delivery has been suspended. Pay $1.50 customs fee online to release: http://usps-customs-fee.com",1
"Hi, your appointment with Dr. Robert is scheduled for next Monday at 10 AM.",0
"Urgent security notice. We detected multiple failed login attempts on your account. Change password now.",1
"Hello, here are the meeting notes from today's discussion on the product redesign.",0
"Verify your email address now to avoid service termination on your Yahoo account.",1
"Are you available for a phone call today at 4:00 PM to discuss the contract?",0
"You have a new secure message from your bank. Click here to read: http://bank-secure-msg.xyz",1
"Hi, I've shared the folder containing the project files with you on Google Drive.",0
"URGENT: Verify your Amazon account details to prevent permanent suspension of your Prime membership.",1
"Thank you for signing up for the webinar. Here is your access link for tomorrow's session.",0
"Your FedEx delivery is pending. Please update your delivery preferences at: http://fedex-delivery-update.net",1
"Hey, did you get a chance to look at the marketing presentation I sent earlier?",0
"Your account password has expired. Click here to update your credentials immediately: http://secure-login-update.com",1
"Hi, the reservation for the conference room has been confirmed for tomorrow at 2 PM.",0
"Earn $1000 a day working from home. No experience required. Sign up now!",1
"Just wanted to say thank you for the help on the project. You did an amazing job!",0
"ALERT: Unauthorized transaction of $500 detected on your credit card. Decline charge here: http://card-fraud-alert.info",1
"Hi, can you send over your slides for the quarterly review? I need to merge them.",0
"Verify your Web3 wallet address now to receive your free token airdrop: http://crypto-airdrop-claim.cc",1
"Hi, your library books are due back in three days. You can renew them online.",0
"Urgent HR Notification: Update your employee direct deposit details in our portal: http://hr-payroll-update.org",1
"Hello, your car service is complete. You can pick it up anytime before 6 PM.",0
"Your Netflix account has been flagged. Confirm your personal details to resume streaming.",1
"Hi, here is the agenda for our workshop next week. Let me know if you want to add anything.",0
"Dear Customer, your credit card statement is ready. Review charges at: http://creditcard-portal.com",1
"Hey, let me know when you're free to hop on a call to talk about the design mocks.",0
"You have received a new document on DocuSign. Click here to sign and review: http://docusign-sign-document.net",1
"Thank you for your donation to the Red Cross. Your receipt is attached to this email.",0
"Action Required: Confirm your flight details immediately to avoid cancellation: http://airline-verify-ticket.com",1
"Hi, your prescription is ready for pickup at the pharmacy.",0
"Alert: Someone from China attempted to log into your account. Lock your account now: http://account-security-lock.info",1
"Hi all, please note the change in our team sync time. We will now meet at 11 AM instead of 10 AM.",0
"Your free trial of Microsoft 365 is ending. Update billing info to continue: http://office365-billing-verify.com",1
"Hi, just a reminder that the trash collection day is shifted due to the holiday.",0
"Urgent: Your tax refund of $450 is ready to be claimed. Enter your bank details here to transfer: http://tax-refund-claim.org",1
"Hello, the contractor will arrive tomorrow at 9 AM to fix the office air conditioning.",0
"Your Instagram account will be deleted in 24 hours for copyright violation. Appeal here: http://instagram-appeal-now.net",1
"Hi, your subscription has successfully renewed. Thank you for your continued support!",0
"Warning: Your cloud storage is full. Buy more storage now or your files will be deleted: http://cloud-storage-upgrade.xyz",1
"Hi, can you please review the contract agreement and sign it by Friday?",0
"Congratulations! You won the sweepstakes. Claim your brand new car now: http://sweepstakes-winner.com",1
"Hi, thank you for submitting your application. We will review it and get back to you soon.",0
"Your WhatsApp account is being transferred to a new device. If this wasn't you, verify here: http://whatsapp-security.xyz",1
"Hey, here is the link to the shared photo album from the team outing last week.",0
"Your Zoom account has been suspended for violating terms. Reactivate account: http://zoom-reactivate.com",1
"Hi, your package has been delivered to the front door. Have a great day!",0
"Urgent: Your electricity bill is past due. Pay now to avoid immediate power shutoff: http://power-bill-pay.com",1
"Hi, let's reschedule our coffee to Thursday. Something came up on my end. Sorry!",0
